id;user_id;user_name;name;phone;email;description;image_url;user_type;is_blocked;blocked_till;is_active;created_by;created_on;updated_by;updated_on
1;patroller hence tectonics;league circular;alb why pushy;6290981234;"+!o@6)[N.";mesh;garage;NormalUser;false;2025-01-04;false;puzzled energetic appreciate;2025-01-04;or exalted;2025-01-04
2;inscribe;why nimble;eventually how;1135629747;"1@=VdIA";along apropos restructure;sternly unusual dearest;SuperAdmin;true;2025-01-03;false;muted;2025-01-04;wherever;2025-01-03
3;unfit which;incidentally bah if;tuba never over;2522120745;"(f@'O;_";blind promptly;yellow wobbly so;CorporateAdmin;true;2025-01-03;false;pfft book;2025-01-04;yippee;2025-01-03
4;duh;edge;deploy unselfish pluck;4941504324;"fIbgI@ZH";positively;fog;NormalUser;true;2025-01-03;true;heavily on;2025-01-03;boom madly clean;2025-01-03
5;junior;vivaciously;awkwardly usually what;5069138633;"d1EZ@{V/u";deafening below;reckon sizzling misjudge;CorporateAdmin;true;2025-01-03;true;meanwhile;2025-01-04;whereas;2025-01-04
6;whoa exactly near;brr;overfeed rebuke;5543165170;"6(@m$k";scotch;embossing;SuperAdmin;true;2025-01-04;false;mid wherever how;2025-01-03;designation;2025-01-04
7;appliance usually;unimpressively though ack;indeed unless;5854596997;"9ylfF2@r";even;jubilantly;NormalUser;true;2025-01-03;false;outside;2025-01-03;near;2025-01-04
8;during yum upon;gadzooks over;hmph an;5969901437;",]pIJ@4W";sinful uh-huh across;hm tensely willfully;NormalUser;false;2025-01-04;true;er gray as;2025-01-04;pulp;2025-01-03
9;beneath;furthermore creak nor;which unsung;2199495219;"cl4qZ@/~\Y:{";quintessential;for;Moderator;true;2025-01-03;true;average yet speedy;2025-01-04;anti;2025-01-03
10;defiantly consequently polished;grounded grandson;slide yum yippee;5559298527;"VW#8@#L4";mmm government above;as probe;NormalUser;true;2025-01-04;true;forenenst;2025-01-03;along ultimately;2025-01-04
